newspaper	date	wk
delaware-gazette-and-state-journal	1890-11-27	0
alpena-weekly-argus	1891-02-04	0
the-big-stone-post	1890-11-21	0
the-critic	1891-02-04	0
the-critic	1891-02-10	0
the-weekly-thibodaux-sentinel-and-journal-of-the-8th-senatorial-district	1890-11-29	0
the-manchester-journal	1890-11-27	0
the-indianapolis-journal	1891-01-08	0.0304
baxter-springs-news	1890-12-06	0
the-state-republican	1890-12-04	0
the-record-union	1891-01-21	0.0174
southern-standard	1891-02-14	0
evening-journal	1891-03-06	0
morning-appeal	1890-12-20	0
daily-independent	1890-12-15	0
freie-presse-für-texas	1890-12-31	0
gazeta-de-puerto-rico	1890-11-29	0
the-pioneer-express	1890-12-26	0
telegram-herald	1891-02-03	0
the-jasper-weekly-courier	1890-12-05	0
evening-star	1890-11-14	0
evening-capital	1891-02-28	0
arizona-republican	1890-12-23	0
boletín-mercantil-de-puerto-rico	1891-02-01	0
pittsburg-dispatch	1891-01-12	0.0289
the-madison-daily-leader	1891-01-07	0.0357
the-gold-leaf	1891-01-15	0
the-sun	1890-11-23	0
the-dispatch	1891-03-07	0
